patient_id,patient_name,age,gender,password,disease_id
1,Rahul Mehta,45,M,rahul@123,1
2,Ananya Singh,38,F,ananya@456,2
3,Amit Kumar,52,M,amit@789,3
4,Neha Sharma,29,F,neha@321,4
5,Saurabh Patel,60,M,saurabh@654,2
6,Pooja Verma,41,F,pooja@987,1
7,Rajesh Gupta,55,M,rajesh@222,5
8,Meena Rani,47,F,meena@333,2
9,Vikas Yadav,34,M,vikas@444,3
10,Swati Agarwal,27,F,swati@555,4
11,Arjun Nair,50,M,arjun@666,1
12,Kavita Joshi,42,F,kavita@777,5
13,Ramesh Pillai,58,M,ramesh@888,2
14,Divya Kapoor,36,F,divya@999,3
15,Nitin Bansal,48,M,nitin@111,4
16,Shreya Das,30,F,shreya@222,1
17,Praveen Rao,54,M,praveen@333,2
18,Sonal Jain,39,F,sonal@444,5
19,Harish Iyer,61,M,harish@555,3
20,Isha Malhotra,26,F,isha@666,4
21,Karan Thakur,46,M,karan@777,1
22,Sneha Kulkarni,32,F,sneha@888,2
23,Deepak Chawla,57,M,deepak@999,5
24,Ritika Saxena,28,F,ritika@123,3
25,Sanjay Dubey,49,M,sanjay@456,4
